,Product Name,Prices,Review
300,Men's Oxford,$254.68,5.0 out of 5 stars
301,Men's Findlay Industrial & Construction Shoe,$149.99,4.2 out of 5 stars
302,Shoes for Crews Andy Sneaker,$63.41,4.2 out of 5 stars
303,"Propper Men's F45351T Fire and Safety Shoe, Black, 12",$104.99,N/A
304,"Nunn Bush Men's, Kore City Walk Slip-On Sneaker",$40.00,4.4 out of 5 stars
305,KEEN Men's Howser 2 Casual Comfortable Durable Slippers,$71.99,4.6 out of 5 stars
306,Madden Men's Trace Slip-On,$46.30,4.3 out of 5 stars
307,PUMA Men's Caven 2.0 Sneaker,$52.55,4.5 out of 5 stars
308,PUMA Men's Ignite Fasten8 Golf Shoe,$69.99,4.5 out of 5 stars
309,STACY ADAMS Men's Dunbar-Wingtip Oxford,$52.50,4.6 out of 5 stars
310,adidas Men's Tech Response Sl 3 Golf Shoe,$55.67,4.6 out of 5 stars
311,Men's Flip Sneaker,$37.63,4.3 out of 5 stars
312,Clarks Men's Shacrelite Moc Oxford,$39.94,4.4 out of 5 stars
313,On Men's Cloudswift 3 Sneakers,$205.76,3.4 out of 5 stars
314,"Nunn Bush Men's, KORE Pro Cap Toe Oxford",$62.94,4.3 out of 5 stars
315,KEEN Men's Targhee 2 Low Height Waterproof Hiking Shoes,N/A,4.4 out of 5 stars
